year,region,npg,birth_rate,death_rate,migratory_growth,population
1990,Udmurt Republic,5.3,15.1,9.8,,1611461.0
1990,Ulyanovsk Oblast,2.8,14.1,11.3,,1410878.0
1990,Khabarovsk Krai,5.9,15.1,9.2,,1619663.0
1990,Republic of Khakassia,4.7,15.3,10.6,,570934.0
1990,Khanty–Mansi Autonomous Okrug – Yugra,12.9,17.1,4.2,,1267030.0
1990,Chelyabinsk Oblast,2.7,13.1,10.4,,3701694.0
1990,Chechen Republic,15.8,24.1,8.3,,1100334.0
1990,Chuvash Republic,5.7,15.8,10.1,,1337182.0
1990,Chukotka Autonomous Okrug,10.1,13.8,3.7,,162135.0
1990,Sakha (Yakutia) Republic,12.7,19.4,6.7,,1111480.0
1990,Yamalo-Nenets Autonomous Okrug,13.1,16.4,3.3,,489161.0
1990,Yaroslavl Oblast,-1.9,11.3,13.2,,1472126.0
1991,Republic of Adygea,0.0,13.5,13.5,,436598.0
1991,Altai Krai,0.4,11.7,11.3,,2653818.0
1991,Amur Oblast,5.3,14.3,9.0,,1054267.0
1991,Arkhangelsk Oblast,2.0,11.9,9.9,,1517293.0
1991,Astrakhan Oblast,2.8,13.9,11.1,,1001044.0
1991,Republic of Bashkortostan,4.7,14.7,10.0,,3962282.0
1991,Belgorod Oblast,-1.8,11.5,13.3,,1397986.0
1991,Bryansk Oblast,-1.1,12.0,13.1,,1457987.0
1991,Republic of Buryatia,6.7,16.0,9.3,,1052038.0
1991,Vladimir Oblast,-2.2,10.3,12.5,,1654489.0
1991,Volgograd Oblast,0.3,11.9,11.6,,2641862.0
1991,Vologda Oblast,-0.1,11.9,12.0,,1353799.0
1991,Voronezh Oblast,-3.7,10.5,14.2,,2469031.0
1991,Republic of Dagestan,18.6,24.9,6.3,,1875345.0
1991,Jewish Autonomous Oblast,6.2,16.0,9.8,,219458.0
1991,Zabaykalsky Krai,6.7,16.0,9.3,,1317948.0
1991,Ivanovo Oblast,-4.2,10.2,14.4,,1292642.0
1991,Republic of Ingushetia,,,,,192642.0
1991,Irkutsk Oblast,4.4,14.7,10.3,,2797005.0
1991,Kabardino-Balkar Republic,10.1,19.0,8.9,,780768.0
1991,Kaliningrad Oblast,1.8,11.7,9.9,,890627.0
1991,Republic of Kalmykia,11.1,19.5,8.4,,327956.0
1991,Kaluga Oblast,-1.8,10.6,12.4,,1073948.0
1991,Kamchatka Krai,5.2,11.3,6.1,,478541.0
1991,Karachay-Cherkess Republic,8.0,16.7,8.7,,424842.0
1991,Republic of Karelia,0.9,11.4,10.5,,791459.0
1991,Kemerovo Oblast,0.2,11.8,11.6,,3100688.0
1991,Kirov Oblast,-1.0,11.5,12.5,,1648962.0
1991,Kostroma Oblast,-2.6,11.3,13.9,,804405.0
1991,Krasnodar Krai,-1.2,12.5,13.7,,4690810.0
1991,Krasnoyarsk Krai,3.1,12.5,9.4,,3163370.0
1991,Republic of Crimea,,,,,
1991,Kurgan Oblast,1.4,13.2,11.8,,1105017.0
1991,Kursk Oblast,-4.2,10.6,14.8,,1328929.0
1991,Leningrad Oblast,-2.8,9.8,12.6,,1675188.0
1991,Lipetsk Oblast,-2.4,10.8,13.2,,1233419.0
1991,Magadan Oblast,6.3,12.1,5.8,,384525.0
1991,Mari El Republic,3.7,14.0,10.3,,755359.0
1991,Republic of Mordovia,0.5,12.0,11.5,,962340.0
1991,Moscow,-3.7,9.1,12.8,,9017415.0
1991,Moscow Oblast,-3.5,8.9,12.4,,6720248.0
1991,Murmansk Oblast,3.8,9.8,6.0,,1188785.0
1991,Nenets Autonomous Okrug,9.3,16.7,7.4,,51667.0
1991,Nizhny Novgorod Oblast,-2.8,9.9,12.7,,3773185.0
1991,Novgorod Oblast,-3.7,10.9,14.6,,751908.0
1991,Novosibirsk Oblast,1.2,12.1,10.9,,2744809.0
1991,Omsk Oblast,3.9,13.8,9.9,,2161266.0
1991,Orenburg Oblast,3.5,13.9,10.4,,2159743.0
1991,Oryol Oblast,-2.4,11.0,13.4,,898256.0
1991,Penza Oblast,-0.9,10.9,11.8,,1547825.0
1991,Perm Krai,0.9,12.3,11.4,,3022108.0
1991,Primorsky Krai,3.2,12.9,9.7,,2309701.0
1991,Pskov Oblast,-4.7,10.7,15.4,,842905.0
1991,Altai Republic,7.7,18.2,10.5,,195577.0
1991,Komi Republic,4.8,12.7,7.9,,1239885.0
1991,Tuva Republic,14.4,23.9,9.5,,304459.0
1991,Rostov Oblast,-1.0,11.7,12.7,,4344528.0
1991,Ryazan Oblast,-3.6,10.3,13.9,,1350283.0
1991,Samara Oblast,-0.2,11.0,11.2,,3247267.0
1991,Saint Petersburg,-3.3,9.3,12.6,,5007469.0
1991,Saratov Oblast,0.2,12.0,11.8,,2705042.0
1991,Sakhalin Oblast,3.5,12.2,8.7,,715333.0
1991,Sverdlovsk Oblast,-0.7,10.7,11.4,,4766249.0
1991,Sevastopol,,,,,
1991,Republic of North Ossetia-Alania,6.3,16.2,9.9,,652114.0
1991,Smolensk Oblast,-3.0,10.7,13.7,,1157671.0
1991,Stavropol Krai,2.1,13.8,11.7,,2477730.0
1991,Tambov Oblast,-4.6,10.6,15.2,,1312283.0
1991,Republic of Tatarstan,3.5,13.6,10.1,,3675425.0
1991,Tver Oblast,-4.7,10.2,14.9,,1662810.0
1991,Tomsk Oblast,2.0,10.9,8.9,,1078142.0
1991,Tula Oblast,-5.4,9.0,14.4,,1849299.0
1991,Tyumen Oblast,7.2,14.0,6.8,,1401243.0
1991,Udmurt Republic,3.8,13.7,9.9,,1616684.0
1991,Ulyanovsk Oblast,1.2,12.5,11.3,,1421291.0
1991,Khabarovsk Krai,3.8,13.1,9.3,,1624704.0
1991,Republic of Khakassia,3.4,14.2,10.8,,572444.0
1991,Khanty–Mansi Autonomous Okrug – Yugra,10.3,14.9,4.6,,1280139.0
1991,Chelyabinsk Oblast,1.2,11.7,10.5,,3706378.0
1991,Chechen Republic,14.6,22.6,8.0,,1171514.0
1991,Chuvash Republic,4.2,14.2,10.0,,1339822.0
1991,Chukotka Autonomous Okrug,8.4,12.5,4.1,,158056.0
1991,Sakha (Yakutia) Republic,11.0,17.8,6.8,,1118983.0
1991,Yamalo-Nenets Autonomous Okrug,11.3,14.7,3.4,,488577.0
1991,Yaroslavl Oblast,-3.7,9.7,13.4,,1473837.0
1992,Republic of Adygea,-1.5,12.0,13.5,,441280.0
1992,Altai Krai,-1.4,10.4,11.8,,2664886.0
1992,Amur Oblast,2.3,12.4,10.1,,1048649.0
1992,Arkhangelsk Oblast,-1.3,10.4,11.7,,1504339.0
1992,Astrakhan Oblast,0.9,12.1,11.2,,1003253.0
1992,Republic of Bashkortostan,2.4,13.3,10.9,,3987884.0
1992,Belgorod Oblast,-3.2,10.5,13.7,,1404959.0
1992,Bryansk Oblast,-2.5,11.2,13.7,,1456025.0
1992,Republic of Buryatia,3.4,13.3,9.9,,1052030.0
1992,Vladimir Oblast,-4.3,9.1,13.4,,1647701.0
1992,Volgograd Oblast,-1.4,10.6,12.0,,2656164.0
1992,Vologda Oblast,-2.9,10.3,13.2,,1353220.0
1992,Voronezh Oblast,-5.0,9.5,14.5,,2467384.0
1992,Republic of Dagestan,16.3,22.9,6.6,,1937297.0
1992,Jewish Autonomous Oblast,2.3,13.9,11.6,,220231.0
1992,Zabaykalsky Krai,4.1,14.2,10.1,,1307810.0
1992,Ivanovo Oblast,-6.1,9.0,15.1,,1285299.0
1992,Republic of Ingushetia,,,,,194105.0
1992,Irkutsk Oblast,1.2,12.6,11.4,,2793856.0
1992,Kabardino-Balkar Republic,8.3,17.2,8.9,,794380.0
1992,Kaliningrad Oblast,-0.7,10.3,11.0,,898578.0
1992,Republic of Kalmykia,9.5,18.2,8.7,,325524.0
1992,Kaluga Oblast,-3.9,9.3,13.2,,1074673.0
1992,Kamchatka Krai,2.8,10.2,7.4,,475987.0
1992,Karachay-Cherkess Republic,6.8,15.9,9.1,,428795.0
1992,Republic of Karelia,-2.4,10.1,12.5,,789509.0
1992,Kemerovo Oblast,-2.8,10.3,13.1,,3098685.0
1992,Kirov Oblast,-2.9,10.1,13.0,,1645091.0
1992,Kostroma Oblast,-5.2,9.3,14.5,,801880.0
1992,Krasnodar Krai,-2.4,11.5,13.9,,4763741.0
1992,Krasnoyarsk Krai,0.4,11.0,10.6,,3164219.0
1992,Republic of Crimea,,,,,
1992,Kurgan Oblast,-0.6,11.8,12.4,,1106527.0
1992,Kursk Oblast,-5.2,9.7,14.9,,1325156.0
1992,Leningrad Oblast,-5.6,8.6,14.2,,1678862.0
1992,Lipetsk Oblast,-3.9,9.7,13.6,,1232409.0
1992,Magadan Oblast,2.3,10.1,7.8,,365311.0
1992,Mari El Republic,1.2,12.2,11.0,,757351.0
1992,Republic of Mordovia,-1.4,10.6,12.0,,960443.0
1992,Moscow,-5.9,7.6,13.5,,9067808.0
1992,Moscow Oblast,-5.5,7.7,13.2,,6719121.0
1992,Murmansk Oblast,0.8,8.3,7.5,,1170371.0
1992,Nenets Autonomous Okrug,5.9,14.7,8.8,,50245.0
1992,Nizhny Novgorod Oblast,-4.5,9.0,13.5,,3762340.0
1992,Novgorod Oblast,-6.2,9.5,15.7,,748820.0
1992,Novosibirsk Oblast,-1.2,10.4,11.6,,2749253.0
1992,Omsk Oblast,2.0,12.2,10.2,,2165262.0
1992,Orenburg Oblast,1.5,12.6,11.1,,2168257.0
1992,Oryol Oblast,-4.4,9.7,14.1,,899207.0
1992,Penza Oblast,-2.7,9.6,12.3,,1547783.0
1992,Perm Krai,-1.4,11.2,12.6,,3012524.0
1992,Primorsky Krai,0.3,10.9,10.6,,2314531.0
1992,Pskov Oblast,-7.4,9.3,16.7,,837683.0
1992,Altai Republic,5.1,16.6,11.5,,196962.0
1992,Komi Republic,2.0,11.4,9.4,,1222134.0
1992,Tuva Republic,11.7,21.6,9.9,,303300.0
1992,Rostov Oblast,-2.4,10.7,13.1,,4370389.0
1992,Ryazan Oblast,-5.7,9.0,14.7,,1344383.0
1992,Samara Oblast,-1.9,9.9,11.8,,3253228.0
1992,Saint Petersburg,-5.9,7.6,13.5,,4986405.0
1992,Saratov Oblast,-2.0,10.5,12.5,,2707547.0
1992,Sakhalin Oblast,1.2,10.5,9.3,,714320.0
1992,Sverdlovsk Oblast,-3.2,9.4,12.6,,4754897.0
1992,Sevastopol,,,,,
1992,Republic of North Ossetia-Alania,4.3,14.7,10.4,,705019.0
1992,Smolensk Oblast,-4.8,9.3,14.1,,1152141.0
1992,Stavropol Krai,1.1,13.0,11.9,,2522703.0
1992,Tambov Oblast,-5.6,9.7,15.3,,1303360.0
1992,Republic of Tatarstan,1.5,12.1,10.6,,3692334.0
1992,Tver Oblast,-7.4,8.8,16.2,,1648880.0
1992,Tomsk Oblast,-0.3,9.5,9.8,,1078596.0
1992,Tula Oblast,-7.6,8.2,15.8,,1838700.0
1992,Tyumen Oblast,4.3,11.9,7.6,,1401423.0
1992,Udmurt Republic,1.3,12.4,11.1,,1622149.0
1992,Ulyanovsk Oblast,-0.5,10.9,11.4,,1432140.0
1992,Khabarovsk Krai,0.4,10.9,10.5,,1624416.0
1992,Republic of Khakassia,0.1,12.0,11.9,,573998.0
1992,Khanty–Mansi Autonomous Okrug – Yugra,6.9,12.5,5.6,,1271505.0
1992,Chelyabinsk Oblast,-1.1,10.3,11.4,,3703516.0
1992,Chechen Republic,12.5,19.9,7.4,,1224703.0
1992,Chuvash Republic,1.9,12.4,10.5,,1344014.0
1992,Chukotka Autonomous Okrug,5.9,11.5,5.6,,147930.0
1992,Sakha (Yakutia) Republic,8.3,16.3,8.0,,1100342.0
1992,Yamalo-Nenets Autonomous Okrug,8.5,13.0,4.5,,477111.0
1992,Yaroslavl Oblast,-6.4,8.3,14.7,,1469449.0
1993,Republic of Adygea,-4.2,10.7,14.9,,446191.0
1993,Altai Krai,-4.9,9.1,14.0,,2680334.0
1993,Amur Oblast,-1.8,10.7,12.5,,1029516.0
1993,Arkhangelsk Oblast,-5.4,9.1,14.5,,1489573.0
1993,Astrakhan Oblast,-2.8,10.3,13.1,,1004737.0
1993,Republic of Bashkortostan,-1.0,11.6,12.6,,4022150.0
1993,Belgorod Oblast,-5.8,9.6,15.4,,1419743.0
1993,Bryansk Oblast,-5.8,10.2,16.0,,1460144.0
1993,Republic of Buryatia,-0.4,11.5,11.9,,1046176.0
1993,Vladimir Oblast,-7.8,8.0,15.8,,1642469.0
1993,Volgograd Oblast,-4.3,9.5,13.8,,2676779.0
1993,Vologda Oblast,-6.4,9.0,15.4,,1351869.0
1993,Voronezh Oblast,-8.1,8.6,16.7,,2478686.0
1993,Republic of Dagestan,13.5,20.8,7.3,,1990359.0
1993,Jewish Autonomous Oblast,-0.9,12.1,13.0,,217801.0
1993,Zabaykalsky Krai,-0.3,12.6,12.9,,1283764.0
1993,Ivanovo Oblast,-9.0,8.1,17.1,,1279087.0
1993,Republic of Ingushetia,,,,,195821.0
1993,Irkutsk Oblast,-2.7,11.1,13.8,,2784043.0
1993,Kabardino-Balkar Republic,4.9,14.6,9.7,,803318.0
1993,Kaliningrad Oblast,-4.5,8.9,13.4,,911348.0
1993,Republic of Kalmykia,5.9,15.8,9.9,,319605.0
1993,Kaluga Oblast,-7.9,8.0,15.9,,1079108.0
1993,Kamchatka Krai,-1.3,8.6,9.9,,458899.0
1993,Karachay-Cherkess Republic,2.9,12.9,10.0,,433088.0
1993,Republic of Karelia,-6.1,9.0,15.1,,786088.0
1993,Kemerovo Oblast,-6.6,9.1,15.7,,3093199.0
1993,Kirov Oblast,-6.3,8.8,15.1,,1641886.0
1993,Kostroma Oblast,-7.9,8.3,16.2,,799790.0
1993,Krasnodar Krai,-5.5,10.2,15.7,,4864010.0
1993,Krasnoyarsk Krai,-3.3,9.7,13.0,,3160594.0
1993,Republic of Crimea,,,,,
1993,Kurgan Oblast,-4.8,9.9,14.7,,1106598.0
1993,Kursk Oblast,-7.6,9.1,16.7,,1328161.0
1993,Leningrad Oblast,-10.7,7.1,17.8,,1680519.0
1993,Lipetsk Oblast,-6.9,8.7,15.6,,1238911.0
1993,Magadan Oblast,-2.4,8.9,11.3,,323673.0
1993,Mari El Republic,-2.1,10.6,12.7,,758363.0
1993,Republic of Mordovia,-4.1,9.7,13.8,,960671.0
1993,Moscow,-9.2,6.9,16.1,,9066025.0
1993,Moscow Oblast,-9.1,6.9,16.0,,6704332.0
1993,Murmansk Oblast,-2.8,7.2,10.0,,1133261.0
1993,Nenets Autonomous Okrug,1.2,12.4,11.2,,48235.0
1993,Nizhny Novgorod Oblast,-8.1,7.9,16.0,,3753098.0
1993,Novgorod Oblast,-10.9,8.0,18.9,,746950.0
1993,Novosibirsk Oblast,-5.5,8.9,14.4,,2746874.0
1993,Omsk Oblast,-1.1,10.8,11.9,,2168933.0
1993,Orenburg Oblast,-2.0,11.0,13.0,,2182602.0
1993,Oryol Oblast,-6.9,9.2,16.1,,903489.0
1993,Penza Oblast,-5.9,8.9,14.8,,1553447.0
1993,Perm Krai,-5.4,9.8,15.2,,3003412.0
1993,Primorsky Krai,-3.4,9.6,13.0,,2302779.0
1993,Pskov Oblast,-12.4,8.1,20.5,,836046.0
1993,Altai Republic,1.2,14.6,13.4,,196371.0
1993,Komi Republic,-2.1,10.1,12.2,,1206079.0
1993,Tuva Republic,8.8,20.3,11.5,,302348.0
1993,Rostov Oblast,-5.5,9.4,14.9,,4404578.0
1993,Ryazan Oblast,-9.1,8.1,17.2,,1341302.0
1993,Samara Oblast,-4.9,9.1,14.0,,3268767.0
1993,Saint Petersburg,-10.8,6.6,17.4,,4942891.0
1993,Saratov Oblast,-5.5,9.1,14.6,,2718415.0
1993,Sakhalin Oblast,-3.3,9.0,12.3,,706651.0
1993,Sverdlovsk Oblast,-6.5,8.5,15.0,,4732538.0
1993,Sevastopol,,,,,
1993,Republic of North Ossetia-Alania,0.6,12.5,11.9,,661783.0
1993,Smolensk Oblast,-8.4,8.3,16.7,,1151759.0
1993,Stavropol Krai,-2.3,11.0,13.3,,2575440.0
1993,Tambov Oblast,-8.6,8.9,17.5,,1303773.0
1993,Republic of Tatarstan,-0.9,11.0,11.9,,3719831.0
1993,Tver Oblast,-11.8,7.9,19.7,,1639834.0
1993,Tomsk Oblast,-4.4,8.1,12.5,,1075425.0
1993,Tula Oblast,-10.8,7.7,18.5,,1834100.0
1993,Tyumen Oblast,1.2,10.6,9.4,,1400387.0
1993,Udmurt Republic,-2.9,10.6,13.5,,1624841.0
1993,Ulyanovsk Oblast,-3.4,9.8,13.2,,1447819.0
1993,Khabarovsk Krai,-2.8,9.7,12.5,,1607662.0
1993,Republic of Khakassia,-3.9,10.7,14.6,,574367.0
1993,Khanty–Mansi Autonomous Okrug – Yugra,4.0,11.4,7.4,,1267751.0
1993,Chelyabinsk Oblast,-4.5,8.9,13.4,,3700052.0
1993,Chechen Republic,,,,,1280519.0
1993,Chuvash Republic,-1.8,10.7,12.5,,1347818.0
1993,Chukotka Autonomous Okrug,2.4,10.1,7.7,,124351.0
1993,Sakha (Yakutia) Republic,6.8,15.6,8.8,,1079678.0
1993,Yamalo-Nenets Autonomous Okrug,6.3,12.2,5.9,,463790.0
1993,Yaroslavl Oblast,-9.9,7.2,17.1,,1464220.0
1994,Republic of Adygea,-3.6,10.9,14.5,,448480.0
1994,Altai Krai,-5.9,9.2,15.1,,2684297.0
1994,Amur Oblast,-2.3,11.0,13.3,,1018407.0
1994,Arkhangelsk Oblast,-6.5,9.4,15.9,,1471475.0
1994,Astrakhan Oblast,-3.6,10.7,14.3,,1006099.0
1994,Republic of Bashkortostan,-1.7,11.7,13.4,,4037178.0
1994,Belgorod Oblast,-5.8,9.8,15.6,,1434551.0
1994,Bryansk Oblast,-7.2,9.8,17.0,,1462308.0
1994,Republic of Buryatia,-1.2,11.9,13.1,,1039946.0
1994,Vladimir Oblast,-9.3,8.1,17.4,,1634028.0
1994,Volgograd Oblast,-5.8,9.5,15.3,,2693887.0
1994,Vologda Oblast,-7.9,8.9,16.8,,1348063.0
1994,Voronezh Oblast,-8.5,8.7,17.2,,2488228.0
1994,Republic of Dagestan,13.8,21.0,7.2,,2033523.0
1994,Jewish Autonomous Oblast,-2.1,12.1,14.2,,215960.0
1994,Zabaykalsky Krai,-1.6,13.0,14.6,,1269690.0
1994,Ivanovo Oblast,-11.4,7.7,19.1,,1269218.0
1994,Republic of Ingushetia,,,,,194171.0
1994,Irkutsk Oblast,-3.8,11.4,15.2,,2764225.0
1994,Kabardino-Balkar Republic,4.1,14.0,9.9,,810033.0
1994,Kaliningrad Oblast,-5.6,9.1,14.7,,919306.0
1994,Republic of Kalmykia,4.6,14.8,10.2,,318032.0
1994,Kaluga Oblast,-9.3,8.2,17.5,,1080681.0
1994,Kamchatka Krai,-2.0,9.2,11.2,,439750.0
1994,Karachay-Cherkess Republic,2.7,13.3,10.6,,433470.0
1994,Republic of Karelia,-8.4,8.8,17.2,,778118.0
1994,Kemerovo Oblast,-8.1,9.2,17.3,,3072515.0
1994,Kirov Oblast,-8.0,8.6,16.6,,1632494.0
1994,Kostroma Oblast,-9.7,8.8,18.5,,796563.0
1994,Krasnodar Krai,-5.4,10.4,15.8,,4940794.0
1994,Krasnoyarsk Krai,-4.6,10.3,14.9,,3139464.0
1994,Republic of Crimea,,,,,
1994,Kurgan Oblast,-5.3,10.1,15.4,,1100563.0
1994,Kursk Oblast,-8.9,9.3,18.2,,1329266.0
1994,Leningrad Oblast,-12.0,7.3,19.3,,1676115.0
1994,Lipetsk Oblast,-8.1,8.8,16.9,,1242943.0
1994,Magadan Oblast,-2.8,8.7,11.5,,300157.0
1994,Mari El Republic,-3.8,10.4,14.2,,757680.0
1994,Republic of Mordovia,-6.1,9.3,15.4,,958247.0
1994,Moscow,-9.5,7.4,16.9,,9066612.0
1994,Moscow Oblast,-10.8,7.2,18.0,,6677307.0
1994,Murmansk Oblast,-3.3,8.4,11.7,,1100549.0
1994,Nenets Autonomous Okrug,2.7,14.3,11.6,,46504.0
1994,Nizhny Novgorod Oblast,-9.6,8.3,17.9,,3737364.0
1994,Novgorod Oblast,-12.3,8.1,20.4,,742100.0
1994,Novosibirsk Oblast,-7.0,8.8,15.8,,2733738.0
1994,Omsk Oblast,-2.4,10.6,13.0,,2164114.0
1994,Orenburg Oblast,-3.1,11.1,14.2,,2196785.0
1994,Oryol Oblast,-7.4,9.5,16.9,,907552.0
1994,Penza Oblast,-7.5,8.7,16.2,,1553178.0
1994,Perm Krai,-7.5,9.8,17.3,,2982229.0
1994,Primorsky Krai,-3.7,10.0,13.7,,2284070.0
1994,Pskov Oblast,-14.7,8.0,22.7,,832136.0
1994,Altai Republic,0.3,14.8,14.5,,196977.0
1994,Komi Republic,-3.6,10.1,13.7,,1192063.0
1994,Tuva Republic,6.6,20.1,13.5,,302160.0
1994,Rostov Oblast,-6.1,9.5,15.6,,4438295.0
1994,Ryazan Oblast,-11.0,8.1,19.1,,1335735.0
1994,Samara Oblast,-6.1,9.1,15.2,,3278648.0
1994,Saint Petersburg,-10.1,7.1,17.2,,4881563.0
1994,Saratov Oblast,-6.5,9.4,15.9,,2724629.0
1994,Sakhalin Oblast,-4.9,9.4,14.3,,688638.0
1994,Sverdlovsk Oblast,-7.8,9.0,16.8,,4700591.0
1994,Sevastopol,,,,,
1994,Republic of North Ossetia-Alania,0.7,13.2,12.5,,661144.0
1994,Smolensk Oblast,-9.6,8.6,18.2,,1151190.0
1994,Stavropol Krai,-2.4,11.2,13.6,,2619617.0
1994,Tambov Oblast,-9.5,9.0,18.5,,1301227.0
1994,Republic of Tatarstan,-1.8,11.2,13.0,,3740811.0
1994,Tver Oblast,-13.6,7.8,21.4,,1627224.0
1994,Tomsk Oblast,-4.8,8.1,12.9,,1067978.0
1994,Tula Oblast,-13.0,7.6,20.6,,1826600.0
1994,Tyumen Oblast,0.8,10.9,10.1,,1393935.0
1994,Udmurt Republic,-4.5,10.4,14.9,,1620134.0
1994,Ulyanovsk Oblast,-4.1,9.9,14.0,,1462824.0
1994,Khabarovsk Krai,-3.4,10.0,13.4,,1591454.0
1994,Republic of Khakassia,-5.6,10.9,16.5,,573123.0
1994,Khanty–Mansi Autonomous Okrug – Yugra,4.1,11.8,7.7,,1279483.0
1994,Chelyabinsk Oblast,-5.8,9.1,14.9,,3682673.0
1994,Chechen Republic,,,,,1307071.0
1994,Chuvash Republic,-2.6,10.8,13.4,,1345489.0
1994,Chukotka Autonomous Okrug,2.6,11.1,8.5,,111422.0
1994,Sakha (Yakutia) Republic,5.7,15.6,9.9,,1064617.0
1994,Yamalo-Nenets Autonomous Okrug,7.0,13.3,6.3,,467467.0
1994,Yaroslavl Oblast,-11.1,7.8,18.9,,1456922.0
1995,Republic of Adygea,-3.7,10.7,14.4,,449864.0
1995,Altai Krai,-6.0,8.7,14.7,,2694271.0
1995,Amur Oblast,-1.9,10.6,12.5,,995012.0
1995,Arkhangelsk Oblast,-6.1,8.9,15.0,,1453656.0
1995,Astrakhan Oblast,-3.4,10.2,13.6,,1014170.0
1995,Republic of Bashkortostan,-1.5,11.2,12.7,,4062622.0
